region,site_name,lawa_site_id,indicator,year,days_measured,exceed_who_daily,exceed_nes_daily
Bay of Plenty,Rotorua at Moses Rd,LAWA-103651 ,PM2.5,2024,314,39,
Bay of Plenty,Tauranga at Otumoetai,LAWA-100126,PM10,2016,308,0,0.0
Bay of Plenty,Tauranga at Otumoetai,LAWA-100126,PM10,2017,359,0,0.0
Bay of Plenty,Tauranga at Otumoetai,LAWA-100126,PM10,2018,287,0,0.0
Bay of Plenty,Tauranga at Otumoetai,LAWA-100126,PM10,2019,248,1,1.0
Bay of Plenty,Tauranga at Otumoetai,LAWA-100126,PM10,2020,354,0,0.0
Bay of Plenty,Tauranga at Otumoetai,LAWA-100126,PM10,2021,339,0,0.0
Bay of Plenty,Tauranga at Otumoetai,LAWA-100126,PM10,2022,330,0,0.0
Bay of Plenty,Tauranga at Otumoetai,LAWA-100126,PM10,2023,292,0,0.0
Bay of Plenty,Tauranga at Otumoetai,LAWA-100126,PM10,2024,362,0,0.0
Bay of Plenty,Tauranga at Sulphur Point,LAWA-102814,PM10,2018,129,0,0.0
Bay of Plenty,Tauranga at Sulphur Point,LAWA-102814,PM10,2019,364,1,1.0
Bay of Plenty,Tauranga at Sulphur Point,LAWA-102814,PM10,2020,360,0,0.0
Bay of Plenty,Tauranga at Sulphur Point,LAWA-102814,PM10,2021,363,0,0.0
Bay of Plenty,Tauranga at Sulphur Point,LAWA-102814,PM10,2022,360,2,0.0
Bay of Plenty,Whakatane at Kopeopeo,LAWA-100144,PM10,2017,228,0,0.0
Bay of Plenty,Whakatane at Kopeopeo,LAWA-100144,PM10,2018,343,0,0.0
Bay of Plenty,Whakatane at Kopeopeo,LAWA-100144,PM10,2019,362,0,0.0
Bay of Plenty,Whakatane at Kopeopeo,LAWA-100144,PM10,2020,360,0,0.0
Bay of Plenty,Whakatane at Kopeopeo,LAWA-100144,PM10,2021,358,0,0.0
Bay of Plenty,Whakatane at Kopeopeo,LAWA-100144,PM10,2022,339,0,0.0
Bay of Plenty,Whakatane at Kopeopeo,LAWA-100144,PM10,2023,356,0,0.0
Bay of Plenty,Whakatane at Kopeopeo,LAWA-100144,PM10,2024,362,0,0.0
Canterbury,Anzac Square,LAWA-100164,PM10,2016,366,33,28.0
Canterbury,Anzac Square,LAWA-100164,PM10,2017,365,27,18.0
Canterbury,Anzac Square,LAWA-100164,PM10,2018,365,15,10.0
Canterbury,Anzac Square,LAWA-100164,PM10,2019,365,23,13.0
Canterbury,Anzac Square,LAWA-100164,PM10,2020,366,16,11.0
Canterbury,Anzac Square,LAWA-100164,PM10,2021,365,20,15.0
Canterbury,Anzac Square,LAWA-100164,PM10,2022,364,13,5.0
Canterbury,Anzac Square,LAWA-100164,PM10,2023,363,10,6.0
Canterbury,Anzac Square,LAWA-100164,PM10,2024,364,14,7.0
Canterbury,Anzac Square,LAWA-100164,PM2.5,2016,365,89,
Canterbury,Anzac Square,LAWA-100164,PM2.5,2017,365,86,
Canterbury,Anzac Square,LAWA-100164,PM2.5,2018,364,73,
Canterbury,Anzac Square,LAWA-100164,PM2.5,2019,365,67,
Canterbury,Anzac Square,LAWA-100164,PM2.5,2020,359,75,
Canterbury,Anzac Square,LAWA-100164,PM2.5,2021,365,81,
Canterbury,Anzac Square,LAWA-100164,PM2.5,2022,364,77,
Canterbury,Anzac Square,LAWA-100164,PM2.5,2023,363,76,
Canterbury,Anzac Square,LAWA-100164,PM2.5,2024,364,73,
Canterbury,Geraldine,LAWA-100056,PM10,2016,363,3,2.0
Canterbury,Geraldine,LAWA-100056,PM10,2017,365,4,2.0
Canterbury,Geraldine,LAWA-100056,PM10,2018,363,1,1.0
Canterbury,Geraldine,LAWA-100056,PM10,2019,357,2,1.0
Canterbury,Geraldine,LAWA-100056,PM10,2020,365,1,0.0
Canterbury,Geraldine,LAWA-100056,PM10,2021,351,0,0.0
Canterbury,Geraldine,LAWA-100056,PM10,2022,365,0,0.0
Canterbury,Geraldine,LAWA-100056,PM10,2023,364,1,0.0
Canterbury,Geraldine,LAWA-100056,PM10,2024,360,0,0.0
Canterbury,Geraldine,LAWA-100056,PM2.5,2016,315,72,
Canterbury,Geraldine,LAWA-100056,PM2.5,2017,365,92,
Canterbury,Geraldine,LAWA-100056,PM2.5,2018,363,68,
Canterbury,Geraldine,LAWA-100056,PM2.5,2019,357,62,
Canterbury,Geraldine,LAWA-100056,PM2.5,2020,365,68,
Canterbury,Geraldine,LAWA-100056,PM2.5,2021,362,53,
Canterbury,Geraldine,LAWA-100056,PM2.5,2022,365,38,
Canterbury,Geraldine,LAWA-100056,PM2.5,2023,364,46,
Canterbury,Geraldine,LAWA-100056,PM2.5,2024,360,56,
Canterbury,Hampstead,LAWA-100025,PM10,2016,364,4,2.0
Canterbury,Hampstead,LAWA-100025,PM10,2017,365,4,3.0
Canterbury,Hampstead,LAWA-100025,PM10,2018,365,2,2.0
Canterbury,Hampstead,LAWA-100025,PM10,2019,365,5,1.0
Canterbury,Hampstead,LAWA-100025,PM10,2020,366,2,0.0
Canterbury,Hampstead,LAWA-100025,PM10,2021,365,0,0.0
Canterbury,Hampstead,LAWA-100025,PM10,2022,365,4,1.0
Canterbury,Hampstead,LAWA-100025,PM10,2023,365,0,0.0
Canterbury,Hampstead,LAWA-100025,PM10,2024,366,4,2.0
Canterbury,Hampstead,LAWA-100025,PM2.5,2016,355,62,
Canterbury,Hampstead,LAWA-100025,PM2.5,2017,358,65,
Canterbury,Hampstead,LAWA-100025,PM2.5,2018,365,53,
Canterbury,Hampstead,LAWA-100025,PM2.5,2019,365,48,
Canterbury,Hampstead,LAWA-100025,PM2.5,2020,366,46,
Canterbury,Hampstead,LAWA-100025,PM2.5,2021,365,40,
Canterbury,Hampstead,LAWA-100025,PM2.5,2022,365,44,
Canterbury,Hampstead,LAWA-100025,PM2.5,2023,365,33,
Canterbury,Hampstead,LAWA-100025,PM2.5,2024,366,58,
Canterbury,Kaiapoi,LAWA-100071,PM10,2016,361,10,7.0
Canterbury,Kaiapoi,LAWA-100071,PM10,2017,363,16,12.0
Canterbury,Kaiapoi,LAWA-100071,PM10,2018,359,8,2.0
