region,site_name,lawa_site_id,indicator,year,mean_ugm3,days_measured,first_date,last_date,pct_coverage
Bay of Plenty,Mount Maunganui at Tauranga Bridge Marina,LAWA-102811,PM10,2019,16.081593837535014,357,2019-01-03 01:00:00,2019-12-31 01:00:00,97.8
Bay of Plenty,Mount Maunganui at Tauranga Bridge Marina,LAWA-102811,PM10,2020,14.372811965811966,351,2020-01-01 01:00:00,2020-12-31 01:00:00,96.2
Bay of Plenty,Mount Maunganui at Tauranga Bridge Marina,LAWA-102811,PM10,2021,14.566356741573033,356,2021-01-01 01:00:00,2021-12-31 01:00:00,97.5
Bay of Plenty,Mount Maunganui at Tauranga Bridge Marina,LAWA-102811,PM10,2022,14.715387283236995,346,2022-01-01 01:00:00,2022-12-31 01:00:00,94.8
Bay of Plenty,Mount Maunganui at Tauranga Bridge Marina,LAWA-102811,PM10,2023,13.835,351,2023-01-01 01:00:00,2023-12-31 01:00:00,96.2
Bay of Plenty,Mount Maunganui at Tauranga Bridge Marina,LAWA-102811,PM10,2024,12.545765957446807,141,2024-01-01 01:00:00,2024-05-22 00:00:00,38.6
Bay of Plenty,Mount Maunganui at Totara St,LAWA-102805,PM10,2018,24.446965034965036,143,2018-08-11 00:00:00,2018-12-31 01:00:00,39.2
Bay of Plenty,Mount Maunganui at Totara St,LAWA-102805,PM10,2019,24.83921270718232,362,2019-01-01 01:00:00,2019-12-31 01:00:00,99.2
Bay of Plenty,Mount Maunganui at Totara St,LAWA-102805,PM10,2020,20.812290410958905,365,2020-01-01 01:00:00,2020-12-31 01:00:00,100.0
Bay of Plenty,Mount Maunganui at Totara St,LAWA-102805,PM10,2021,21.390304109589042,365,2021-01-01 01:00:00,2021-12-31 01:00:00,100.0
Bay of Plenty,Mount Maunganui at Totara St,LAWA-102805,PM10,2022,22.20542307692308,364,2022-01-01 01:00:00,2022-12-31 01:00:00,99.7
Bay of Plenty,Mount Maunganui at Totara St,LAWA-102805,PM10,2023,20.887660377358493,212,2023-01-01 01:00:00,2023-07-31 00:00:00,58.1
Bay of Plenty,Mount Maunganui at Totara St,LAWA-102805,PM2.5,2018,7.707194244604316,139,2018-08-11 00:00:00,2018-12-31 01:00:00,38.1
Bay of Plenty,Mount Maunganui at Totara St,LAWA-102805,PM2.5,2019,7.952308605341246,337,2019-01-01 01:00:00,2019-12-31 01:00:00,92.3
Bay of Plenty,Mount Maunganui at Totara St,LAWA-102805,PM2.5,2020,6.202931506849316,365,2020-01-01 01:00:00,2020-12-31 01:00:00,100.0
Bay of Plenty,Mount Maunganui at Totara St,LAWA-102805,PM2.5,2021,6.269253443526171,363,2021-01-01 01:00:00,2021-12-30 01:00:00,99.5
Bay of Plenty,Mount Maunganui at Totara St,LAWA-102805,PM2.5,2022,6.397706948640484,331,2022-01-07 01:00:00,2022-12-31 01:00:00,90.7
Bay of Plenty,Mount Maunganui at Totara St,LAWA-102805,PM2.5,2023,5.618042452830189,212,2023-01-01 01:00:00,2023-07-31 00:00:00,58.1
Bay of Plenty,Mount Maunganui at Totara St Rail Crossing,LAWA-103978 ,PM10,2024,22.220892753623186,345,2024-01-20 01:00:00,2024-12-31 01:00:00,94.5
Bay of Plenty,Mount Maunganui at Whareroa Marae,LAWA-102806,PM10,2018,18.34812676056338,142,2018-08-11 00:00:00,2018-12-31 01:00:00,38.9
Bay of Plenty,Mount Maunganui at Whareroa Marae,LAWA-102806,PM10,2019,17.10308262108262,351,2019-01-01 01:00:00,2019-12-31 01:00:00,96.2
Bay of Plenty,Mount Maunganui at Whareroa Marae,LAWA-102806,PM10,2020,14.202896067415729,356,2020-01-01 01:00:00,2020-12-31 01:00:00,97.5
Bay of Plenty,Mount Maunganui at Whareroa Marae,LAWA-102806,PM10,2021,11.401783707865167,356,2021-01-01 01:00:00,2021-12-31 01:00:00,97.5
